Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DDT_Amazon_CatogaryValidation_testSuite,Chrome 121.0.0.0,,,08-02-2024 19:19:36,08-02-2024 19:21:27,1m - 51.483s,PASSED
,,,,,,,
Test Cases/DDT/TC_Validation Amazon Category_Excel_003,Chrome 121.0.0.0,,,08-02-2024 19:19:36,08-02-2024 19:20:10,33.604s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,08-02-2024 19:19:36,08-02-2024 19:19:37,0.707s,ERROR
"openBrowser("""")",Chrome 121.0.0.0,,,08-02-2024 19:19:37,08-02-2024 19:19:39,1.617s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,08-02-2024 19:19:39,08-02-2024 19:19:41,1.878s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/categoryElement""), category, false)",Chrome 121.0.0.0,,,08-02-2024 19:19:41,08-02-2024 19:20:00,19.488s,PASSED
"setText(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), item)",Chrome 121.0.0.0,,,08-02-2024 19:20:00,08-02-2024 19:20:01,1.153s,PASSED
"click(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Chrome 121.0.0.0,,,08-02-2024 19:20:01,08-02-2024 19:20:10,8.211s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,08-02-2024 19:20:10,08-02-2024 19:20:10,0.264s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,08-02-2024 19:20:10,08-02-2024 19:20:10,0.069s,ERROR
,,,,,,,
Test Cases/DDT/TC_Validation Amazon Category_Excel_003,Chrome 121.0.0.0,,,08-02-2024 19:20:10,08-02-2024 19:20:35,24.879s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,08-02-2024 19:20:10,08-02-2024 19:20:10,0.086s,ERROR
"openBrowser("""")",Chrome 121.0.0.0,,,08-02-2024 19:20:10,08-02-2024 19:20:11,0.788s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,08-02-2024 19:20:11,08-02-2024 19:20:13,2.482s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/categoryElement""), category, false)",Chrome 121.0.0.0,,,08-02-2024 19:20:13,08-02-2024 19:20:26,12.183s,PASSED
"setText(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), item)",Chrome 121.0.0.0,,,08-02-2024 19:20:26,08-02-2024 19:20:27,1.125s,PASSED
"click(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Chrome 121.0.0.0,,,08-02-2024 19:20:27,08-02-2024 19:20:35,7.883s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,08-02-2024 19:20:35,08-02-2024 19:20:35,0.235s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,08-02-2024 19:20:35,08-02-2024 19:20:35,0.062s,ERROR
,,,,,,,
Test Cases/DDT/TC_Validation Amazon Category_Excel_003,Chrome 121.0.0.0,,,08-02-2024 19:20:35,08-02-2024 19:21:01,25.717s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,08-02-2024 19:20:35,08-02-2024 19:20:35,0.064s,ERROR
"openBrowser("""")",Chrome 121.0.0.0,,,08-02-2024 19:20:35,08-02-2024 19:20:36,0.799s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,08-02-2024 19:20:36,08-02-2024 19:20:38,1.814s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/categoryElement""), category, false)",Chrome 121.0.0.0,,,08-02-2024 19:20:38,08-02-2024 19:20:54,16.778s,PASSED
"setText(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), item)",Chrome 121.0.0.0,,,08-02-2024 19:20:54,08-02-2024 19:20:56,1.153s,PASSED
"click(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Chrome 121.0.0.0,,,08-02-2024 19:20:56,08-02-2024 19:21:00,4.813s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,08-02-2024 19:21:00,08-02-2024 19:21:01,0.218s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,08-02-2024 19:21:01,08-02-2024 19:21:01,0.052s,ERROR
