Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DDT_Amazon_CatogaryValidation_testSuite,Chrome 121.0.0.0,,,08-02-2024 11:01:07,08-02-2024 11:02:41,1m - 33.506s,FAILED
,,,,,,,
Test Cases/DDT/TC_Validation Amazon Category_Excel_003,Chrome 121.0.0.0,,,08-02-2024 11:01:08,08-02-2024 11:01:29,21.080s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,08-02-2024 11:01:08,08-02-2024 11:01:10,2.169s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,08-02-2024 11:01:10,08-02-2024 11:01:12,1.686s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/categoryElement""), category, false)",Chrome 121.0.0.0,,,08-02-2024 11:01:12,08-02-2024 11:01:29,16.745s,FAILED
,,,,,,,
Test Cases/DDT/TC_Validation Amazon Category_Excel_003,Chrome 121.0.0.0,,,08-02-2024 11:01:29,08-02-2024 11:01:49,20.271s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,08-02-2024 11:01:29,08-02-2024 11:01:30,1.005s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,08-02-2024 11:01:30,08-02-2024 11:01:32,1.746s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/categoryElement""), category, false)",Chrome 121.0.0.0,,,08-02-2024 11:01:32,08-02-2024 11:01:49,17.418s,FAILED
,,,,,,,
Test Cases/DDT/TC_Validation Amazon Category_Excel_003,Chrome 121.0.0.0,,,08-02-2024 11:01:49,08-02-2024 11:01:54,4.898s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,08-02-2024 11:01:49,08-02-2024 11:01:50,0.989s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,08-02-2024 11:01:50,08-02-2024 11:01:52,1.798s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/categoryElement""), category, false)",Chrome 121.0.0.0,,,08-02-2024 11:01:52,08-02-2024 11:01:54,2.035s,FAILED
,,,,,,,
Test Cases/DDT/TC_ValidateAmazon_Login_Internal_002,Chrome 121.0.0.0,,,08-02-2024 11:01:54,08-02-2024 11:02:41,46.956s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,08-02-2024 11:01:54,08-02-2024 11:01:55,0.873s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,08-02-2024 11:01:55,08-02-2024 11:01:57,1.855s,PASSED
"click(findTestObject(""Object Repository/Amazon_Validate_login_OR/Page_Amazon.com. Spend less. Smile more/span_Hello, sign in""))",Chrome 121.0.0.0,,,08-02-2024 11:01:57,08-02-2024 11:02:41,44.032s,FAILED
