Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_AmazonHome_Validate_SerachField_001,Chrome 121.0.0.0,,,08-02-2024 09:51:38,08-02-2024 09:52:11,33.625s,PASSED
,,,,,,,
Test Cases/TC_AmazonHome_Validate_SearchField_001,Chrome 121.0.0.0,,,08-02-2024 09:51:38,08-02-2024 09:52:11,33.328s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,08-02-2024 09:51:38,08-02-2024 09:51:41,3.221s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,08-02-2024 09:51:41,08-02-2024 09:51:43,1.832s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_Validate_SearchField_OR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), ""search-alias=stripbooks-intl-ship"", true)",Chrome 121.0.0.0,,,08-02-2024 09:51:43,08-02-2024 09:52:03,20.027s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Validate_SearchField_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), ""Da vinci code"")",Chrome 121.0.0.0,,,08-02-2024 09:52:03,08-02-2024 09:52:05,1.653s,PASSED
"click(findTestObject(""Object Repository/Amazon_Validate_SearchField_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,08-02-2024 09:52:05,08-02-2024 09:52:10,4.834s,PASSED
"verifyElementText(findTestObject(""Object Repository/Amazon_Validate_SearchField_OR/Page_Amazon.com  Da vinci code/span_Results""), ""Results"")",Chrome 121.0.0.0,,,08-02-2024 09:52:10,08-02-2024 09:52:11,0.772s,PASSED
"verifyElementText(findTestObject(""Object Repository/Amazon_Validate_SearchField_OR/Page_Amazon.com  Da vinci code/span_The Da Vinci Code (Robert Langdon)""), ""The Da Vinci Code (Robert Langdon)"")",Chrome 121.0.0.0,,,08-02-2024 09:52:11,08-02-2024 09:52:11,0.301s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,08-02-2024 09:52:11,08-02-2024 09:52:11,0.337s,PASSED
